Draft-rankings-export-2025

Overall Rank,Full Name,Team Abbreviation,Position,Position Rank,Bye Week,ADP,Projected Points,Auction Value
249,"Joe Flacco","CLE","QB",31,9,170,200.99,"N/A"
250,"Tre Harris","LAC","WR",86,12,170,77.68,4
251,"Tyler Shough","NO","QB",32,11,170.1,196.6,"N/A"
252,"Jalen Coker","CAR","WR",87,14,170.1,89.6,1
253,"Tampa Bay Buccaneers DST","TB","DST",16,9,null,105.38,"N/A"
254,"Brandon McManus","GB","K",15,5,168.7,145.35,"N/A"
255,"Younghoe Koo","ATL","K",16,5,null,134.48,"N/A"
256,"Terrance Ferguson","LAR","TE",33,8,170,87.2,"N/A"
257,"Kyle Williams","NE","WR",88,14,null,112.52,3
258,"Trevor Etienne","CAR","RB",73,14,170.1,45.91,1
259,"Dalton Schultz","HOU","TE",34,6,169.6,97.95,"N/A"
260,"Tyler Higbee","LAR","TE",35,8,169.8,85.42,"N/A"
261,"Dontayvion Wicks","GB","WR",89,5,170,77.56,1
262,"AJ Barner","SEA","TE",36,8,169.9,77.89,"N/A"
263,"Jaxson Dart","NYG","QB",33,14,169.3,52.2,"N/A"
264,"Malik Washington","MIA","WR",90,12,170,91.45,"N/A"
265,"Michael Mayer","LV","TE",37,8,170,76.27,"N/A"
266,"Pat Bryant","DEN","WR",91,12,170,110.94,1
267,"Olamide Zaccheaus","CHI","WR",92,5,169.9,4.41,"N/A"
268,"Harold Fannin Jr.","CLE","TE",38,9,169.9,74.88,"N/A"
269,"Andrei Iosivas","CIN","WR",93,10,170.1,98.66,2
270,"Anthony Richardson","IND","QB",34,11,null,64.51,"N/A"
271,"Oronde Gadsden II","LAC","TE",39,12,170,99.4,"N/A"
272,"Jalen Nailor","MIN","WR",94,6,170.1,74.75,"N/A"
273,"Cole Kmet","CHI","TE",40,5,169.7,14.81,1
274,"Spencer Rattler","NO","QB",35,11,170,52.08,"N/A"
275,"Jimmy Garoppolo","LAR","QB",36,8,170,47.2,"N/A"
276,"Noah Brown","WAS","WR",95,12,170,104.29,"N/A"
